Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
Five-SeveN,Crimson Blossom,Mil-Spec,St. Marc Collection,,,,,,2019.0
FAMAS,Sundown,Mil-Spec,St. Marc Collection,,,,,,2019.0
UMP-45,Day Lily,Mil-Spec,St. Marc Collection,,,,,,2019.0
AUG,Midnight Lily,Restricted,St. Marc Collection,,,,,,2019.0
SSG 08,Sea Calico,Restricted,St. Marc Collection,,,,,,2019.0
Glock-18,Synth Leaf,Restricted,St. Marc Collection,,,,,,2019.0
MP9,Wild Lily,Classified,St. Marc Collection,,,,,,2019.0
AK-47,Wild Lotus,Covert,St. Marc Collection,,,,,,2019.0
PP-Bizon,Urban Dashed,Consumer Grade,Train Collection,,,,,,2013.0
Nova,Polar Mesh,Consumer Grade,Train Collection,,,,,,2013.0
Five-SeveN,Forest Night,Consumer Grade,Train Collection,,,,,,2013.0
G3SG1,Polar Camo,Consumer Grade,Train Collection,,,,,,2013.0
Dual Berettas,Colony,Consumer Grade,Train Collection,,,,,,2013.0
UMP-45,Urban DDPAT,Consumer Grade,Train Collection,,,,,,2013.0
M4A4,Urban DDPAT,Industrial Grade,Train Collection,,,,,,2013.0
MAC-10,Candy Apple,Industrial Grade,Train Collection,,,,,,2013.0
P90,Ash Wood,Industrial Grade,Train Collection,,,,,,2013.0
SCAR-20,Carbon Fiber,Industrial Grade,Train Collection,,,,,,2013.0
MAG-7,Metallic DDPAT,Industrial Grade,Train Collection,,,,,,2013.0
P250,Metallic DDPAT,Industrial Grade,Train Collection,,,,,,2013.0
Sawed-Off,Amber Fade,Mil-Spec,Train Collection,,,,,,2013.0
Desert Eagle,Urban Rubble,Mil-Spec,Train Collection,,,,,,2013.0
Tec-9,Red Quartz,Restricted,Train Collection,,,,,,2013.0
XM1014,Urban Perforated,Consumer Grade,Vertigo Collection,,,,,,2013.0
MAC-10,Urban DDPAT,Consumer Grade,Vertigo Collection,,,,,,2013.0
PP-Bizon,Carbon Fiber,Industrial Grade,Vertigo Collection,,,,,,2013.0
P90,Glacier Mesh,Mil-Spec,Vertigo Collection,,,,,,2013.0
AK-47,Black Laminate,Mil-Spec,Vertigo Collection,,,,,,2013.0
Dual Berettas,Demolition,Restricted,Vertigo Collection,,,,,,2013.0
MAG-7,Rust Coat,Consumer Grade,2018 Inferno Collection,,,,,,2018.0
AUG,Sweeper,Consumer Grade,2018 Inferno Collection,,,,,,2018.0
UMP-45,Mudder,Consumer Grade,2018 Inferno Collection,,,,,,2018.0
MP9,Slide,Consumer Grade,2018 Inferno Collection,,,,,,2018.0
MP5-SD,Dirt Drop,Consumer Grade,2018 Inferno Collection,,,,,,2018.0
PP-Bizon,Candy Apple,Industrial Grade,2018 Inferno Collection,,,,,,2018.0
MAC-10,Calf Skin,Industrial Grade,2018 Inferno Collection,,,,,,2018.0
R8 Revolver,Nitro,Industrial Grade,2018 Inferno Collection,,,,,,2018.0
Glock-18,High Beam,Industrial Grade,2018 Inferno Collection,,,,,,2018.0
Sawed-Off,Brake Light,Mil-Spec,2018 Inferno Collection,,,,,,2018.0
SSG 08,Hand Brake,Mil-Spec,2018 Inferno Collection,,,,,,2018.0
USP-S,Check Engine,Mil-Spec,2018 Inferno Collection,,,,,,2018.0
M4A4,Converter,Mil-Spec,2018 Inferno Collection,,,,,,2018.0
P250,Vino Primo,Restricted,2018 Inferno Collection,,,,,,2018.0
MP7,Fade,Restricted,2018 Inferno Collection,,,,,,2018.0
AK-47,Safety Net,Restricted,2018 Inferno Collection,,,,,,2018.0
Dual Berettas,Twin Turbo,Classified,2018 Inferno Collection,,,,,,2018.0
SG 553,Integrale,Classified,2018 Inferno Collection,,,,,,2018.0
Nova,Mandrel,Consumer Grade,2018 Nuke Collection,,,,,,2018.0
PP-Bizon,Facility Sketch,Consumer Grade,2018 Nuke Collection,,,,,,2018.0
UMP-45,Facility Dark,Consumer Grade,2018 Nuke Collection,,,,,,2018.0
Five-SeveN,Coolant,Consumer Grade,2018 Nuke Collection,,,,,,2018.0
P250,Facility Draft,Consumer Grade,2018 Nuke Collection,,,,,,2018.0
MP7,Motherboard,Industrial Grade,2018 Nuke Collection,,,,,,2018.0
Negev,Bulkhead,Industrial Grade,2018 Nuke Collection,,,,,,2018.0
Galil AR,Cold Fusion,Industrial Grade,2018 Nuke Collection,,,,,,2018.0
M4A4,Mainframe,Industrial Grade,2018 Nuke Collection,,,,,,2018.0
P250,Exchanger,Mil-Spec,2018 Nuke Collection,,,,,,2018.0
P90,Facility Negative,Mil-Spec,2018 Nuke Collection,,,,,,2018.0
MP5-SD,Co-Processor,Mil-Spec,2018 Nuke Collection,,,,,,2018.0
AWP,Acheron,Mil-Spec,2018 Nuke Collection,,,,,,2018.0
MAG-7,Core Breach,Restricted,2018 Nuke Collection,,,,,,2018.0
AUG,Random Access,Restricted,2018 Nuke Collection,,,,,,2018.0
Glock-18,Nuclear Garden,Restricted,2018 Nuke Collection,,,,,,2018.0
Tec-9,Remote Control,Classified,2018 Nuke Collection,,,,,,2018.0
M4A1-S,Control Panel,Classified,2018 Nuke Collection,,,,,,2018.0
R8 Revolver,Desert Brush,Consumer Grade,2021 Dust II Collection,,,,,,2021.0
P90,Desert DDPAT,Consumer Grade,2021 Dust II Collection,,,,,,2021.0
SG 553,Bleached,Consumer Grade,2021 Dust II Collection,,,,,,2021.0
MP7,Prey,Consumer Grade,2021 Dust II Collection,,,,,,2021.0
Sawed-Off,Parched,Consumer Grade,2021 Dust II Collection,,,,,,2021.0
AUG,Spalted Wood,Industrial Grade,2021 Dust II Collection,,,,,,2021.0
MP9,Old Roots,Industrial Grade,2021 Dust II Collection,,,,,,2021.0
Five-SeveN,Withered Vine,Industrial Grade,2021 Dust II Collection,,,,,,2021.0
M249,Midnight Palm,Industrial Grade,2021 Dust II Collection,,,,,,2021.0
P250,Black & Tan,Mil-Spec,2021 Dust II Collection,,,,,,2021.0
Nova,Quick Sand,Mil-Spec,2021 Dust II Collection,,,,,,2021.0
G3SG1,New Roots,Mil-Spec,2021 Dust II Collection,,,,,,2021.0
Galil AR,Amber Fade,Mil-Spec,2021 Dust II Collection,,,,,,2021.0
USP-S,Orange Anolis,Restricted,2021 Dust II Collection,,,,,,2021.0
M4A4,Red DDPAT,Restricted,2021 Dust II Collection,,,,,,2021.0
MAC-10,Case Hardened,Restricted,2021 Dust II Collection,,,,,,2021.0
UMP-45,Fade,Classified,2021 Dust II Collection,,,,,,2021.0
SSG 08,Death Strike,Classified,2021 Dust II Collection,,,,,,2021.0
AK-47,Gold Arabesque,Covert,2021 Dust II Collection,,,,,,2021.0
P250,Drought,Consumer Grade,2021 Mirage Collection,,,,,,2021.0
PP-Bizon,Anolis,Consumer Grade,2021 Mirage Collection,,,,,,2021.0
MAG-7,Navy Sheen,Consumer Grade,2021 Mirage Collection,,,,,,2021.0
MAC-10,Sienna Damask,Consumer Grade,2021 Mirage Collection,,,,,,2021.0
