Weapon type,Skin,Quality,Collection,Factory New,Minimal Wear,Field-Tested,Well-Worn,Battle-Scarred,Year
Sawed-Off,Full Stop,Mil-Spec,Italy Collection,$0.67 USD,$0.37 USD,$0.23 USD,$0.18 USD,$0.18 USD,2013
AWP,Pit Viper,Restricted,Italy Collection,,$0.46 USD,$0.25 USD,$0.36 USD,$0.33 USD,2013
G3SG1,Jungle Dashed,Consumer Grade,Lake Collection,$0.09 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
SG 553,Waves Perforated,Consumer Grade,Lake Collection,$16.59 USD,$7.65 USD,$8.14 USD,$7.48 USD,$6.86 USD,2013
Galil AR,Sage Spray,Consumer Grade,Lake Collection,$0.15 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
AUG,Storm,Consumer Grade,Lake Collection,$66.72 USD,$65.30 USD,$67.28 USD,$78.55 USD,$61.25 USD,2013
XM1014,Blue Spruce,Consumer Grade,Lake Collection,$0.22 USD,$0.02 USD,$0.02 USD,$0.02 USD,$0.02 USD,2013
P250,Boreal Forest,Consumer Grade,Lake Collection,$0.11 USD,$0.03 USD,$0.03 USD,$0.02 USD,$0.02 USD,2013
XM1014,Blue Steel,Industrial Grade,Lake Collection,$0.27 USD,$0.07 USD,$0.05 USD,$0.05 USD,$0.05 USD,2013
FAMAS,Cyanospatter,Industrial Grade,Lake Collection,$0.83 USD,$0.06 USD,$0.05 USD,$0.05 USD,$0.05 USD,2013
PP-Bizon,Night Ops,Industrial Grade,Lake Collection,$0.10 USD,$0.07 USD,$0.05 USD,$0.05 USD,$0.05 USD,2013
AWP,Safari Mesh,Industrial Grade,Lake Collection,$1.58 USD,$0.12 USD,$0.06 USD,$0.07 USD,$0.13 USD,2013
Desert Eagle,Mudder,Industrial Grade,Lake Collection,$0.66 USD,$0.07 USD,$0.05 USD,$0.05 USD,$0.05 USD,2013
SG 553,Anodized Navy,Mil-Spec,Lake Collection,$0.66 USD,$0.51 USD,,,,2013
P90,Teardown,Mil-Spec,Lake Collection,$0.66 USD,$0.37 USD,$0.23 USD,$0.18 USD,$0.19 USD,2013
USP-S,Night Ops,Mil-Spec,Lake Collection,$0.67 USD,$0.40 USD,$0.24 USD,$0.23 USD,$0.22 USD,2013
Dual Berettas,Cobalt Quartz,Restricted,Lake Collection,$0.30 USD,$0.17 USD,$0.13 USD,$0.34 USD,,2013
XM1014,Grassland,Consumer Grade,Militia Collection,$29.62 USD,$3.21 USD,$1.85 USD,$2.86 USD,$2.20 USD,2013
MAC-10,Tornado,Consumer Grade,Militia Collection,$36.15 USD,$2.72 USD,$2.12 USD,$3.78 USD,$2.15 USD,2013
PP-Bizon,Forest Leaves,Consumer Grade,Militia Collection,$39.35 USD,$2.69 USD,$1.79 USD,$1.84 USD,$2.11 USD,2013
P2000,Grassland Leaves*,Industrial Grade,Militia Collection,,,,,,2013
Nova,Modern Hunter,Mil-Spec,Militia Collection,,,,,,2013
Nova,Blaze Orange,Mil-Spec,Militia Collection,,,,,,2013
P250,Modern Hunter,Mil-Spec,Militia Collection,,$29.29 USD,$12.98 USD,$29.74 USD,$17.55 USD,2013
XM1014,Blaze Orange,Mil-Spec,Militia Collection,$241.02 USD,$26.21 USD,$14.82 USD,$12.95 USD,$13.10 USD,2013
PP-Bizon,Modern Hunter,Mil-Spec,Militia Collection,$217.37 USD,$31.36 USD,$9.19 USD,$14.01 USD,$10.46 USD,2013
M4A4,Modern Hunter*,Restricted,Militia Collection,$382.39 USD,$115.28 USD,$38.90 USD,$44.00 USD,$35.77 USD,2013
SCAR-20,Splash Jam,Classified,Militia Collection,,$45.50 USD,$8.04 USD,$10.23 USD,$9.41 USD,2013
Galil AR,Hunting Blind,Consumer Grade,Mirage Collection,$4.04 USD,$2.01 USD,$1.23 USD,$2.05 USD,$1.34 USD,2013
P90,Scorched,Consumer Grade,Mirage Collection,$5.32 USD,$1.77 USD,$1.35 USD,$1.37 USD,$1.26 USD,2013
G3SG1,Safari Mesh,Consumer Grade,Mirage Collection,$6.29 USD,$1.54 USD,$1.52 USD,$1.45 USD,$1.46 USD,2013
AUG,Colony,Consumer Grade,Mirage Collection,$16.36 USD,$1.84 USD,$1.35 USD,$1.19 USD,$1.22 USD,2013
Five-SeveN,Contractor,Consumer Grade,Mirage Collection,$26.38 USD,$1.67 USD,$1.35 USD,$1.19 USD,$1.17 USD,2013
P250,Bone Mask,Consumer Grade,Mirage Collection,$9.96 USD,$1.57 USD,$1.33 USD,$1.37 USD,$1.17 USD,2013
MP7,Orange Peel,Industrial Grade,Mirage Collection,$0.27 USD,$0.08 USD,$0.06 USD,$0.07 USD,$0.06 USD,2013
Glock-18,Groundwater,Industrial Grade,Mirage Collection,$93.30 USD,$10.46 USD,$8.16 USD,$9.64 USD,$7.34 USD,2013
SG 553,Gator Mesh,Industrial Grade,Mirage Collection,$11.82 USD,$10.47 USD,$8.56 USD,$8.16 USD,$8.43 USD,2013
SSG 08,Tropical Storm,Industrial Grade,Mirage Collection,$45.74 USD,$8.66 USD,$7.89 USD,$8.41 USD,$7.77 USD,2013
Negev,CaliCamo,Industrial Grade,Mirage Collection,$10.98 USD,$8.70 USD,$7.61 USD,$7.60 USD,$8.40 USD,2013
MP9,Hot Rod,Mil-Spec,Mirage Collection,$90.38 USD,$99.55 USD,,,,2013
UMP-45,Blaze,Mil-Spec,Mirage Collection,$22.33 USD,$48.64 USD,,,,2013
MAC-10,Amber Fade,Mil-Spec,Mirage Collection,$21.48 USD,$12.98 USD,$13.24 USD,$10.86 USD,,2013
MAG-7,Bulldozer,Restricted,Mirage Collection,$550.00 USD,$19.89 USD,$5.18 USD,$4.91 USD,$4.89 USD,2013
MAG-7,Irradiated Alert,Consumer Grade,Nuke Collection,$19.10 USD,$3.03 USD,$1.65 USD,$2.42 USD,$1.17 USD,2013
Sawed-Off,Irradiated Alert,Consumer Grade,Nuke Collection,$289.21 USD,$3.21 USD,$1.55 USD,$2.49 USD,$1.74 USD,2013
